Country,Product,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020 Provisional
Korea,Renewable sources,1320,1367,1284,1906,1683,1789,1393,1808,2328,1984,2709,2005,2723,2399,3659,4019,5344,3566,4588,6362,3487,3099,4230,2349,3012,2830,2895,4343,4257,4111,4258,3434,5123,4631,4052,4018,4557,4376,4687,6186,7479,7093,8783,8553,10642,15884,18620.917,23025.955,27406.009,33874.704
Korea,Total,10540,11839,14825,16835,20120,23117,26587,31510,35600,37239,40207,43122,48850,53808,58007,63895,72692,84262,93695,105371,113255,124404,143035,161764,181139,202605,222114,216069,235596,288526,309137,329804,343191,366612,387874,402270,425905,443936,451676,496718,520053,530935,537891,545866,549047,558816,562693.219,586200.132,578033.894,583057.565
Latvia,Fossil fuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2152,2369,1313,1048,1135,1042,1265,1551,1479,1350,1313,1441,1490,1637,1493,1492,2105,1943,2062,2013,2992,3017,2058,2675,2337,2757,2944,2069.489,3226.28,3246.275,2075.317
Latvia,Nuclear,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,Renewable sources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4496,3275,2521,2876,3305,2937,1861,2955,4318,2759,2823,2839,2485,2338,3196,3414,2786,2828,3212,3556,3635.563,3076.862,4109.233,3534.13,2802.45,2776.725,3480.792,5461.7,3498.595,3192.11,3649.527
Latvia,Total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6648,5644,3834,3924,4440,3979,3126,4506,5797,4110,4136,4280,3975,3975,4689,4906,4891,4771,5274,5569,6627.563,6093.862,6167.233,6209.13,5139.45,5533.725,6424.792,7531.189,6724.875,6438.385,5724.844
Lithuania,Fossil fuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10920,11991,3582,1264,1575,1296,1939,2024,3130,2752,2271,2604,2656,2845,3052,3418,2794,2825,2593,2836,3833,2877,3119,2425,1911,2254,1207,736.671,461.7,591.5,1821.3
Lithuania,Nuclear,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17033,17000,14638,12260,7706,11822,13942,12024,13554,9862,8419,11362,14142,15484,15102,10337,8651,9833,9894,10852,0,0,0,0,0,0,0,0,0,0,0
Lithuania,Renewable sources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,414,338,311,393,452,373,326,296,417,415,340,328,358,332,428,460,435,581,602,684,911,1112,1183,1526,1511,1678,2095,2537.848,2204.6,2469.1,2575.3
Lithuania,Total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28405,29363,18548,13934,9755,13520,16241,14388,17153,13089,11121,14362,17294,18828,18752,14415,12077,13470,13327,14643,4994,4246,4529,4214,3708,4258,3676,3608.2,2982.5,3369.3,4737.8
Luxembourg,Fossil fuels,1278,1303,1347,1159,983,1050,1030,1031,976,790,585,412,344,409,397,454,423,460,509,520,579,558,564,450,346,338,274,195,204,214.841,666.925,2624.366,2619.576,3152.629,3106.545,3247.284,2895.204,2402.198,2842.717,2916.54,2341.022,2388.207,1421.114,1451.304,837.784,258.179,221.212,195.495,191.834,174.899
Luxembourg,Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,Renewable sources,55,65,47,83,71,46,94,94,107,113,126,113,109,111,105,117,133,133,104,82.505,97.976,81.77,81.712,101.08,107.493,75.448,102.919,142.551,121.855,170.638,167.692,151.284,141.137,195.231,209.051,245.628,264.556,282.383,267.811,268.033,245.773,308.056,370.171,397.63,430.786,457.203,600.389,684.48,796.261,981.217
Luxembourg,Total,1333,1368,1394,1242,1054,1096,1136,1139,1098,918,728,542,470,538,519,588,578,616,632,624,701,660,671,577,487,440,406,366,359.619,419.164,868.069,2809.567,2789.878,3381.942,3344.637,3527.592,3199.737,2724.166,3151.51,3230.949,2648.787,2755.854,1850.181,1904.402,1334.71,784.841,898.824,956.933,1065.81,1227.565
Mexico,Fossil fuels,16658,19008,20750,23812,28274,29746,32475,40140,43082,49161,47595,55870,59789,61912,65111,73724,81245,84381,88325,84296,95543,94858,96286,114905,107798,110919,123610,140978,141468,156722,168658,175619,197072,194062,201853,207404,217473,212265,222541,223863,247488,255831,245841,238849,251636,260776,259561.593,277314.61,264503,260997.2
Mexico,Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,2937,4242,3919,4931,4239,8443,7878,10456,9265,10002,8221,8726,9747,10502,9194,10805,10866,10421,9804,10501,5879,10089,8770,11800,9677,11577,10567,10883,13675,11190,10864.271
Mexico,Renewable sources,14381,15352,16350,17172,15650,17778,19784,16850,19003,17801,25562,24178,22088,25018,27878,23410,22757,25481,29008,28604,28785,34087,34456,27987,36007,38894,33427,32061,40040,40732,36604,32855,28643,34327,38110.445,39531.914,37377.285,47245.71,34666.598,45748.193,45074.587,42361.193,39543.059,52893.038,47470.921,49148.548,51499.618,54413,55108,66878.566
Mexico,Total,31039,34360,37100,40984,43924,47524,52259,56990,62085,66962,73157,80048,81877,86930,92989,97134,104002,109862,117705,115837,128570,132864,135673,147131,152248,157691,167493,182304,191510,205675,213988,218221,236217,237583,250768.445,257801.914,265271.285,269314.71,267753.417,275537.987,302749.208,307227.973,297325.789,301495.764,310712.041,320564.159,322061.825,357592.61,344176,343488.422
Netherlands,Fossil fuels,44499,49225,51519,51484,50120,53393,53709,56325,59869,59582,59310,56150,55830,59050,58604,62385,64158,65083,68071,67092,69561,71833,71395,73879,74847,78352,80846,83654,79004,81277,84938,86631,87255,90553,86789,85745,91695,92238,96966,102386,95619,84936.321,84812.021,85848,89379.593,93338.188,93080.122,89082.134,91959.853,83816.343
Netherlands,Nuclear,405,326,1108,3277,3335,3872,3710,4060,3489,4200,3658,3897,3589,3711,3899,4216,3556,3675,4019,3502,3329,3800,3948,3967,4018,4160,2408,3814,3832,3926,3976,3915,4018,3822,3997,3469,4200,4169,4248,3969,4141,3915,2891,4091,4078.041,3960.278,3402.478,3514.77,3909.748,4087.363
Netherlands,Renewable sources,0,0,0,0,803,872,867,1211,1106,1024,1085,265,231,17,444,557,705,853,960,806.509,935.39,995.014,1107.049,1257.709,1404.606,1815.958,2015.383,2327.666,2507.384,2971.01,3302.195,3975.397,3961.849,5306.739,7446.935,8049.957,7582.729,9530.776,10835.016,11196.671,12320.182,12480.756,12105.834,11647.501,13671.94,14777.091,17436.567,18901.501,22731.753,32153.014
Netherlands,Total,44904,49551,52627,54761,54258,58137,58286,61596,64464,64806,64053,60312,59650,62778,62947,67158,68419,69611,73050,71968.102,74384.14,77257.233,77159.177,79866.581,81156.238,85423.456,86521.735,91114.507,86720.436,89630.027,93663.405,95982.021,96817.619,101213.681,99922.539,98832.122,105164.301,107551.973,113689.499,119269.286,113961.185,103235.009,101630.228,103357.364,110231.174,115168.065,117219.271,114102.852,121061.552,122478.861
New Zealand,Fossil fuels,1105,2081,2972,3049,2086,4956,5741,4486,1990,2171,2486,5484,4762,5719,6488,5224,5440,5071,6861,6382.731,7528.177,8953.957,7808.281,6188.496,5755.566,7568.565,11031.524,9092.252,11457.513,11118.305,14369.508,12300.467,13765.077,11746.546,15207.711,15249.222,15051.509,15597.169,12233.373,11970.471,10565.629,12437.101,11107.332,9032.566,8754.779,6835.213,8296.049,7328.007,8150.261,8679.127
New Zealand,Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,Renewable sources,14373,15532,15559,15779,18478,16500,16090,17738,20092,20425,20988,19486,21731,21720,21236,23352,23681,24819,24497,25814.454,25701.719,23876.602,26399.85,28596.284,30238.502,28837.069,26010.346,28451.381,26293.54,28061.947,25150.681,28227.733,26901.419,30839.612,27598.347,28114.323,28687.71,28174.987,31157.215,32858.669,33913.045,31910.908,32328.385,34595.172,35570.082,36936.705,35977.348,37031.489,36612.521,36427.973
New Zealand,Total,15478,17613,18531,18828,20564,21456,21831,22224,22082,22596,23474,24970,26493,27439,27724,28576,29121,29890,31358,32264.262,33296.933,32897.673,34275.239,34851.916,36061.156,36473.07,37108.958,37610.721,37818.141,39247.34,39570.727,40627.855,40756.861,42674.915,42887.166,43439.819,43795.842,43832.178,43447.574,44890.296,44528.188,44385.82,43483.06,43678.445,44377.303,43826.46,44323.119,44412.294,44811.405,45168.705
Norway,Fossil fuels,283,175,162,56,71,96,229,133,146,137,127,268,321,327,337,413,488,421,442,88,94,94,99,253,273,371,324,308,373,292,343,353,460,508,530,637,936,606,4362,5031,4226,2835,2638,2787,2773,2776,2735,2794.069,2559.688,1712.764
Norway,Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,Renewable sources,63245,67417,72867,76597,77330,81933,72022,80706,88698,83613,92834,92499,105688,105903,102388,96227,103294,108884,118429,121358,110343,116898,119483,111922,121829,104174,110027,115984,121750,142105,120745,129697,106028.4,109392,136520,120393,134934,140354,126487,117972,121901,143598,130415,137945,140073,145156,145479,142878.404,131322.181,151103.711
Norway,Total,63528,67592,73029,76653,77401,82029,72251,80839,88844,83750,92961,92767,106009,106230,102729,96666,103803,109332,118899,121611,110563,117112,119718,112323,122242,104698,110494,116431,122287,142511,121327,130240,106669,110107,137245,121222,136112,141197,130979,123227,126265,146577,133511,141255,143398,148432,148734,146178.041,134407.9,153299.781
Poland,Fossil fuels,67799,74270,82157,88823,94460,101698,106567,112790,114657,118183,111601,114603,122052,130945,133274,135984,141454,139959,141476,132740,130865,128756,129926,131204,134790,138859,138369,138208,137619,140765,140863,139579,147729,149036,151167,156115,153062,148017,142383,146073,149845,144721,146810,138473,141467,143066,145494.084,147442.082,137017.919,128108.756
Poland,Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,Renewable sources,1670,1688,1679,2357,2201,1828,2222,2213,2047,2597,2406,1812,2037,1753,2249,1917,1854,1887,1712,1495,1508,1618,1549,1784,1955,2064,2132,2533,2352,2332,2783,2767,2250,3207,3847,4291,5430,6608,8678,10888,13137,16879,17067,19843,22683,22807,24122.125,21617.185,25458.832,28130.768
Poland,Total,69537,76045,83908,91271,96784,103648,108925,115121,116818,120941,114129,116542,124201,132848,135662,138058,143439,141961,143319,134438,132728,130687,131779,133294,137042,141194,140935,140771,140001,143174,143721,142499,150009,152550,155359,160764,158761,154710,151121,157089,163118,161711,164022,158508,164341,166153,169991.027,169622.05,163282.035,157115.792
Portugal,Fossil fuels,1583,1641,2267,2677,4055,5029,3575,3556,4644,6871,8494,8083,9622,9057,7569,11207,10336,9534,19067,18503,19881,24122,21552,19695,23764,18633,19906,24760,34214,30247,30172,35656,28540,32245,37623,32548,30392,30543,30893,25008,27448,25947,20764,20143,26601,26512,34840.542,28739.848,24049.497,21587.483
Portugal,Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,Renewable sources,6313,7199,7525,8008,6646,5017,10200,11043,11471,8335,5330,7274,8431,10138,11241,9120,9767,12886,6482,9839,9847,5501,9438,11638.999,9380,15784,14226.001,14147,8622,12868,15741,9733,17703,12314.482,8259.713,15721.992,16217.586,14640.853,18290.928,28352.826,24114.796,19371.217,29471.278,31561.519,24371.575,32310.643,22573.243,29402.063,27405.506,30381.324
Portugal,Total,7896,8840,9792,10685,10701,10046,13775,14599,16115,15206,13824,15357,18053,19195,18810,20327,20103,22420,25549,28342,29728,29623,30990,31333.999,33144,34417,34132.001,38907,42914,43372,46168,45650,46521,44827.935,46187.851,48575.781,46895.209,45473.478,49482.422,53691.32,51887.663,45577.24,50533.923,51960.976,51280.537,59142.447,57697.08,58401.172,51729.369,52226.221
Slovak Republic,Fossil fuels,9389,10274,10745,10177,11180,12056,12785,13154,12812,13187,12606,12184,11250,11153,10446,10338,9677,9263,9281,11581,11164,10245,9089,8508,10111,9978,9913,10059,10483,9657,9646,8813,9507,9273,8905,8361,7550,7437,6872,6886,7774,7265,6348,5277,5320,5262,5646,5900,6232,6165
Slovak Republic,Nuclear,0,3,232,486,187,442,114,19,2147,4523,5133,5840,6150,7239,9382,11716,11513,11474,12157,12036,11689,11050,11486,12595,11437,11249,11073,11394,13117,16494,17103,17953,17864,17026,17727,18012,15334,16703,14081,14574,15411,15495,15720,15499,15146,14774,15081,14843,15282,15417
Slovak Republic,Renewable sources,1476,1546,1322,2223,2002,2019,2408,2259,1884,2257,1966,1726,1832,1555,2117,1675,1932,1755,1962,1880,1408,1937,3467,4355,4880,4227,4064,4267,4474,4615,5081,5420,3581,4126,4676,4803,4934,4563,4911,5940,4999,5474,6353,6229,6040,6629,6532,5806,6644,6643
Slovak Republic,Total,10865,11823,12299,12886,13369,14517,15307,15432,16843,19967,19705,19750,19232,19947,21945,23729,23122,22492,23400,25497,24261,23232,24044,25458,26428,25454,25053,25732,28105,30798,31856,32212,30986,30460,31352,31251,27892,28760,25919,27464,28288,28328,28514,27148,26632,26817,27439,26682,28219,28304
Slovenia,Fossil fuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4872,4184,4950,4955,4887,4882,4737,5065,5237,4794,4959,5341,5656,5528,5592,5652,5859,5964,5815,5753,5844,5812,5685,5392,4175,4806,5441,5311.622,5118.757,5026,4953.618
Slovenia,Nuclear,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4622,4952,3971,3956,4609,4779,4647,5019,5042,4696,4761,5257,5528,5207,5459,5884,5548,5695,6273,5739,5657,6215,5528,5300,6370,5648,5715,6285.272,5776.439,5821.257,6352.766
Slovenia,Renewable sources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2950,3608,3423,3035,3399,3252,3673,3092,3449,3772,3904,3868,3414,3079,4215,3575,3703,3379,4308,4907,4749,3880,4329,5110,6611,4355,5057,4447.847,5232.766,5039.621,5583.565
Slovenia,Total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12444,12744,12344,11946,12895,12913,13057,13176,13728,13262,13624,14466,14598,13820,15271,15117,15115,15043,16399,16403,16255,15915,15548,15809,17163,14817,16221,16053.65,16138.262,15896.421,16900.857
Spain,Fossil fuels,27194,27634,40147,42234,48376,60571,46228,50072,51355,74128,78062,77917,77110,62986,65675,63738,63389,52199,71075,70776,71232,81180,74128,76351,85452,75357,96253,96877,118939,123614,119724,143436,139325,159622,184198,182377,187392,188773,163926,137736,145326,144620,112631,106689,122415,107194,126152,111218,110568,86504
Spain,Nuclear,2523,4751,6545,7223,7544,7555,6524,7649,6700,5186,9568,8771,10661,23086,28044,37458,41271,50466,56126,54268,55578,55782,56060,55313,55455,56330,55298,58993,58852,62206,63708,63016,61875,63606,57539,60126,55103,58973,52761,61990,57718,61470,56726,57305,57196,58633,58039,55766,58349,58279
Spain,Renewable sources,31868,35530,28968,30619,26178,21119,39937,40567,46648,29912,22366,26818,27607,32034,31898,27032,27946,35919,19890,26035,27813,19606,25128,29065,24381,41251,36977,36894,27210,34490,49295,33170,55762,50137.743,42269.979,52154.968,58290.208,62143.147,74080,97776.2,87522,86961.624,111404.861,110267.93,97088.454,104632.087,87924,103885,100988,112858
Spain,Total,61585,67915,75660,80076,82098,89245,92689,98288,104703,109226,109996,113506,115378,118106,125617,128228,132606,138584,147200,151209,154753,156704,155443,160907,165601,173371,189153,193399,205633,220917,233060,239905,257292,276619.743,289451.979,295587.968,301846.208,310978.147,291869,298320.2,291532,293941.624,281443.861,274947.93,277683.454,271302.087,272978,271983,271029,258805
Sweden,Fossil fuels,14272,16219,15678,15434,10625,15213,16221,11074,12600,10181,4460,4360,2841,2542,5144,5166,4715,4227,3250,3285,5039,5956,6916,8088,7732,12276,7183,6848,6718,4531,5921,7180,8907,5213,3890,4242,3606,3711,3878,7326,4398,2932,2693,1811,1938,2072,1790,2089,1684,2228
Sweden,Nuclear,90,1465,2111,2054,11969,15993,19913,23781,21039,26488,37679,39045,41004,50926,58561,69951,67385,69424,65603,68185,76761,63544,61395,73156,69935,74274,69928,73583,73188,57316,72109,68111,67415,77486,72377,66977,66969,63889,52173,57828,60475,64037,66457,64877,56348,63101,65696,68549,66130,48916
Sweden,Renewable sources,52172,53969,60271,57622,57958,55186,53855,58029,61427,59589,60674,56068,64994,69759,72796,62913,73813,71924,73940,74452,65109,76373,76871,61402,70556,54003,72033,78098,74747,83140,83321,71145,58731,68186,81231,71068,77424,81408,79810,82086,84088,98309,82688,85742,102496,89127,95058,91153,98933,109753
Sweden,Total,66534,71653,78060,75110,80552,86392,89989,92884,95066,96316,102846,99512,108869,123268,136539,138084,145977,145641,142916,145984,146970,145936,145247,142700,148293,140627,149206,158791,154838,145231,161595,146700,135379,151683,158364,143283,148819,149896,136610,148445,150283,166435,153031,153555,161985,155891,164225,163360,168417,162567
Switzerland,Fossil fuels,2915,3570,2604,2265,1743,2202,2017,1875,1814,851,587,652,669,577,565,600,610,582,612,751.752,1024.461,1236.529,814.733,935.94,1088.026,1182.535,1148.781,1490.578,1198.477,1083.835,1092.62,1115.815,1170.46,1145.952,1084.099,986.431,916.661,857.978,815.374,1095.134,1012.29,963.482,798.986,537.217,665.163,892.263,759.196,644.898,636.783,648.021
Switzerland,Nuclear,1391,3840,6310,7067,7761,7939,8114,8395,11805,14346,15330,15133,15710,18440,22558,22581,23003,22792,22836,23636,22953,23448,23351,24363,24895,25142,25409,25830,25830,26446,26811,27234,27487,26958,23341,27819,27925,27700,27686,26339,26710,25441,25990,27557,23089,21146,20376.455,25512.63,26417.6,24024.55
Switzerland,Renewable sources,26875,24469,27903,27770,33475,25947,35759,31980,31846,32978,35917,36723,35816,30538,32414,33360,35182,36304,30301,30224.356,32475.552,33530.056,36258.535,39611.35,35457.844,29378.525,34751.062,34199.174,40797.411,37691.63,42205.125,36105.602,35733.633,34751.526,32279.507,32139.345,36477.826,37326.172,37033.581,37471.729,34018.502,40527.296,40675.94,40669.011,41108.583,37809.481,37761.807,38877.645,42235.898,42440.556
Switzerland,Total,31181,31879,36817,37102,42979,36088,45890,42250,45465,48175,51834,52508,52195,49555,55537,56541,58795,59678,53749,54976.041,56842.818,58655.158,60863.161,65406.233,61957.998,56262.319,62018.964,62324.482,68695.637,66125.064,71057.294,65422.208,65345.086,63865.231,57788.306,62135.811,66437.729,67040.929,66676.049,66052.132,62880.5,68134.761,68705.649,70078.128,66057.324,61097.252,60148.264,66290.023,70548.739,68393.793
Turkey,Fossil fuels,7009,7863,9625,9914,9499,9747,11775,12254,12088,11791,11947,12385,16004,17165,22168,27778,25677,19030,34042,34315,37444,40657,39723,47605,50398,54127,63103,68462,81528,93714,98333,95390,104985,104359,122120,131681,154982,163920,156583,155371,171169,174151,170641,198984,177608,183426,209166.154,206060.556,170518.329,175922.911
Turkey,Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,Renewable sources,2772,3380,2800,3563,6124,8536,8790,9472,10434,11484,12726,14167,11343,13448,12051,11917,18676,29018,18002,23228,22802,26685,34085,30716,35849,40735,40193,42560,34912,31154,24346,33966,35559,46311,39748,44522,36457,34421,38141,55712,58098,65216,69220,52629,83658,90245,87235.434,97767.92,132260.768,128421.013
Turkey,Total,9781,11243,12425,13477,15623,18283,20565,21726,22522,23275,24673,26552,27347,30613,34219,39695,44353,48048,52044,57543,60246,67342,73808,78321,86247,94862,103296,111022,116440,124922,122725,129400,140581,150698,161956,176299,191558,198418,194812,211208,229393,239496,240154,251963,261783,274408,297277.524,304801.884,303897.56,305431.385
United Kingdom,Fossil fuels,224850,229998,249497,234719,236701,235436,237839,245243,256092,243157,234381,223174,221087,222429,229533,235509,242269,238304,236183,246112,245398,236030,226428,229436,236242,248540,243605,252361,259943,278823,280205,282756,293317,294977,294315,297482,308333,308698,276941,289189,259064,247149,229588,204457,178875.802,176682.083,161646.367,150667.218,139728.651,121215.5
United Kingdom,Nuclear,27548,29378,27997,33617,30338,36155,40021,37224,38308,37023,37969,43972,49928,53979,61095,59079,55238,63456,71734,65749,70543,76807,89353,88282,88964,94671,98146,99486,95133,85063,90094,87848,88686,79999,81618,75451,63028,52486,69098,62140,68980,70405,70607,63748,70344.902,71726.081,70336.426,65063.849,56183.934,50278.3
United Kingdom,Renewable sources,3358,3391,3858,4066,3751,3688,3870,3995,4245,3891,4347,4530,4552,3988,4091,4767,4137,4934,4758,5811,5323,6405,5718,6955,6871,5685,6946,8649,9616,9970,9549,11127,10618,14137,16938,18106,19689,21847,25245,26182,35213,41250,53215,64523,84060.974,82981.247,98866.599,110038.117,120505.012,134297.7
United Kingdom,Total,255756,262767,281352,272402,270790,275279,281730,286462,298645,284071,276697,271676,275567,280396,294719,299355,301644,306694,312675,317755,321352,319346,321665,325024,332489,349313,349180,361079,365250,374375,382368,384595,395464,391278,395426,393430,392971,384830,373071,378921,365078,360913,355386,335217,336831.662,336257.91,335061.689,330005.683,321087.511,311342.8
United States,Fossil fuels,1398490,1520470,1608210,1529147,1520945,1644747,1739593,1736734,1801990,1876547,1878278,1759469,1795865,1882899,1919875,1894889,1984738,2078319,2239417,2211966,2241417,2274693,2378991,2425384,2448570,2500516,2589971,2711858,2736469,2882270,2771591,2858235,2890533,2961136,3078075,3049191,3111787,3100548,2892882,3060149,2960191,2941052,2907720,2913787,2882404,2806893,2691535.679,2834295.376,2745142.583,2557949
United States,Nuclear,40552,57813,89167,121251,183512,202570,265936,292987,270464,266183,289034,299739,311298,347292,406712,438880,482586,558591,561165,611589,649399,655970,646987,678920,713806,715212,666363,714124,771811,797718,792604,804519,787818,813339,810726,816195,836634,837804,830210,838931,821405,801129,822004,830584,830288,839918,838861.365,841328.625,843330.055,823191
United States,Renewable sources,264338,272826,268132,306937,306703,290640,226925,286721,287209,284590,269712,317427,341877,332582,295342,305955,249863,221132,327304,369241,350142,324316,355578,336458,384343,422867,403130,365559,351308,330364,260426,348137,360433,357987,366205,395209,361815,391022,428696,440677,528962,512822,541802,560657,568439,637076,718175.056,743178.772,767033.52,835250.75
United States,Total,1703380,1851109,1965509,1957335,2011160,2137957,2232454,2316442,2359663,2427320,2437024,2376635,2449040,2562773,2621929,2639724,2717187,2858042,3127886,3202813,3254890,3270597,3391520,3451830,3558374,3651244,3672220,3804504,3873638,4025885,3838831,4026399,4054649,4148080,4268887,4275011,4323915,4342980,4165395,4354363,4326635,4270884,4287114,4320317,4297048,4299595,4263676.651,4433935.757,4370988.105,4231316.75
OECD Total,Fossil fuels,2846812,3087150,3354921,3253089,3243894,3546535,3652438,3736849,3863125,3936003,3871730,3739279,3794507,3903963,3935891,3921596,4090613,4226029,4540596,4592115.915,4669748.611,4704380.796,4743746.528,4944157.89,5019430.255,5164731.722,5314319.163,5513921.428,5629119.057,5935492.785,5880182.917,6081798.627,6253524.584,6340637.162,6520812.15,6534914.81,6804086.926,6732277.199,6344189.325,6671774.451,6685576.377,6703994.882,6574377.319,6424780.357,6379103.391,6339939.508,6235092.091,6285271.402,6008170.424,5661363.913
OECD Total,Nuclear,103693,142038,188496,242082,335311,385175,479629,561515,575569,620668,730245,783530,882812,1056992,1259397,1377191,1479604,1601763,1656336,1746485.703,1837945.852,1859479.068,1924800.053,1986522.701,2066830.999,2123594.607,2095490.424,2153406.898,2223185.864,2257556.543,2290814.512,2295684.715,2244058.328,2339109.148,2361936.543,2369771.205,2288156.228,2290637.915,2253010.614,2288371.48,2086964.766,1951583.43,1962360.421,1980260.009,1970960.036,1965737.808,1955422.993,1979185.801,1985509.635,1860595.503
OECD Total,Renewable sources,896561,940217,939662,1037495,1042594,1005311,1015312,1086933,1138151,1129182,1150156,1188455,1242473,1249102,1246134,1247125,1237142,1253991,1284053,1352287.685,1353562.004,1354561.829,1438962.15,1401124.021,1490854.699,1529756.34,1531753.701,1500847.637,1512794.814,1550212.023,1455442.229,1530361.089,1530449.749,1598461.876,1640303.049,1698949.207,1711864.814,1818343.003,1862070.943,1963435.808,2110725.226,2212753.555,2351052.025,2425716.222,2528225.196,2648037.73,2798973.199,2917641.925,3035076.276,3243092.408
OECD Total,Total,3847134,4169492,4483151,4534687,4623929,4939425,5149753,5387807,5579643,5688672,5754368,5714343,5922385,6212931,6444210,6549065,6810411,7085450,7485369,7726572.66,7902095.755,7961770.003,8145687.122,8373729.272,8621972.703,8865713.646,8990026.534,9214862.375,9412433.026,9793578.416,9680371.308,9963111.164,10082334.77,10335252.71,10584158.66,10663142.91,10862479.13,10900563.87,10523853.42,10995762.87,10959419.73,10945335.29,10965923.38,10910052.09,10957749.81,11042948.82,11079479.03,11283330.49,11131866.46,10862892.8
Brazil,Fossil fuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10017,11154,11731,11515,11893,13583,16328,18458,19504,29005,30243,36902,35049,32958,41974,41232,41132,38927,58408,37753,63878,52070,79983,116631,142166,135232,96758,103649.912,87575.489,91981.671,81738.642
Brazil,Nuclear,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2237,1442,1759,442,55,2519,2427,3169,3265,3977,6046,14279,13836,13358,11611,9855,13754,12350,13969,12957,14523,15659,16038,15450,15378,14734,15864,15739.196,15673.887,16128.824,14052.598
