Country,Product,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020 Provisional
Brazil,Renewable sources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,210567,221781,228242,240019,248093,259499,272523,286355,298979,301368,312249,276891,296372,317571,333334,351141,363765,392685,390210,414828,436929,463472,456097,438417,432543,431100,465819,467023.562,495289.884,515438.134,522869.446
Brazil,Total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,222821,234377,241732,251976,260041,275601,291278,307982,321748,334716,348910,328508,345671,364339,387453,403033,419337,445147,463067,466121,515713,531757,552401,570838,590479,581488,578897,589327.254,601396.485,626328.387,621197.506
People's Republic of China,Fossil fuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,494480,552460,621470,684833,745584,801419,876296,922548,942536,1018140,1113413,1182711,1337601,1580101,1795567,2042927,2364229,2718749,2783801,2981276,3332623,3819124,3881107,4209233,4370875,4264019,4422641,4760803.782,4969985.001,5098875.43,5230162.999
People's Republic of China,Nuclear,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,1604,14756,12833,14338,14418,14100,14949,16737,17472,25127,43342,50469,53088,54843,62130,68394,70134,73880,86350,97394,111613,132538,170789,213287,248070,294359,348355,366247
People's Republic of China,Renewable sources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,126788,125165,132601,151962,167905,193662,189606,198922,210864,206838,225588,280766,291436,287312,357466,404451,446882,500911,614990,663651,781638,788618,995264,1103418,1287729,1392598,1521684,1659749.829,1832838.205,2014901.633,2157704.789
People's Republic of China,Total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,621268,677625,754071,838399,928245,1007914,1080240,1135888,1167500,1239927,1355738,1480949,1654164,1910755,2203502,2500466,2865954,3281790,3467185,3715061,4197204,4704861,4984732,5436567,5804098,5838435,6169025,6682009.407,7109823.853,7472175.012,7764415.789
India,Fossil fuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,211641.44,237331.92,256098.79,280453.03,297050.54,337002.49,357807.48,380024.48,400870.57,440840.12,467794.55,483708.21,510361.32,536564.87,559437.24,571541.11,609856.06,649962.84,687856.41,746188.81,786425.72,840256.97,902399.98,940842.36,1039678.14,1111129.95,1163015.03,1214396.45,1281353.32,1251707.95,1240508.427
India,Nuclear,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6141,5525,6726,5398,5648,7982,9071,10083,11922,13249.12,16902.49,19474.59,19390,17780,17011,17324,18802,16957,14927,18636.44,26266.4,32286.56,32866.11,34227.79,36101.54,37413.62,37916,38346,37812.6,46472.45,43029.08
India,Renewable sources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71687.89,72813.57,69973.72,70577.21,82926.89,73142.84,69923.64,75824.58,84259.84,82495.61,76361.49,76435.76,73019.84,85969.44,98977.36,119413.876,138461.401,150195.789,141966.089,144332.496,161413.155,187739.083,179753.234,208734.625,212533.156,207587.05,230206.655,255412.704,288026.286,324746.285,326632.235
India,Total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,289470.33,315670.49,332798.51,356428.24,385625.43,418127.33,436802.12,465932.06,497052.41,536584.85,561058.53,579618.56,602771.16,640347.31,675495.1,708357.486,767225.961,817324.629,845003.999,909462.246,974483.275,1060776.613,1115615.824,1184473.275,1289059.336,1356988.12,1431969.685,1508987.154,1607941.706,1623691.185,1610967.761
Indonesia,Fossil fuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25834,29664,31617,36422,43317,49448,57206,66911,65735,73781,78434,83560,92035,97566,103813,110178,116759,123808,129442,136028,142842,161405,177538,189494,201709,209052,216761,222607.94,234321.25,245822.242,238909.811
Indonesia,Nuclear,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,Renewable sources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6833,7676,9896,8978,8041,9745,10518,7716,12303,12134,14891,17694,16182,15408,16350,17351,16313,18343,19884,20746,26913,21997,22477,26506,26149,24922,31156,31965.58,49138.28,49290.04,49062.54
Indonesia,Total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32667,37340,41513,45400,51358,59193,67724,74627,78038,85915,93325,101254,108217,112974,120163,127529,133072,142151,149326,156774,169755,183417,200030,216020,227876,233984,247920,254868.72,283770.76,295122.782,287982.851
Morocco,Fossil fuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8408,7979,8755,9467,10630,11481,10581,11510,11191,12070,12081,13969,14191,14919,15898,18105,18683,18703,19333,18186,19545,22308,24976,22594,24125,25108,25776,26874.8,27730.667,32413.775,31352.72
Morocco,Nuclear,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,Renewable sources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1220,1226,964,443,840,611,1957,2083,1777,825,782,1077,1044,1659,1807,1185,1181,1194,1227,2959,4127,2698,2359,4141,3561,4409,4656,4634.9,6484.341,7543.466,6979.362
Morocco,Total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9628,9205,9719,9910,11470,12092,12538,13593,12968,12895,12863,15046,15235,16578,17705,19290,19864,19897,20560,21145,23672,25006,27335,28037,28988,30819,31734,32811.7,35517.145,41259.378,39634.219
Singapore,Fossil fuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15544,16431,17184,18472,20359,21754,23610,26408,27885,29030,31175,32143,33718,34342,35853,37257,38488,40159,40669,40756,45207,44802,45675,46597,47929,48864,50089,50763.358,51476.438,52626.318,51648.485
Singapore,Nuclear,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,Renewable sources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85,245,245,245,245,245,245,245,245,245,245,473,473,495,479,478,477,487,525,535,592,611,638,742,823,923,988,1020.551,1086.44,1256.651,1298.344
Singapore,Total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15714,16921,17674,18962,20849,22244,24100,26898,28375,29520,31665,33089,34664,35332,36811,38213,39442,41133,41718,41823,46386,46016,46938,47971,49382,50420,51677,52391.862,53144.082,54469.62,53415.474
South Africa,Fossil fuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,155926,155388,156717,165960,169402,173551,186342,192869,187527,186662,193419,195162,203931,217619,226332,229133,237614,247986,240964,232257,242069,243637,241366,237579,232332,228682,226667,226376.738,227973.769,221721.189,210184.225
South Africa,Nuclear,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8449,9144,9288,7255,9697,11301,11775,12647,13601,12837,13010,10719,11991,12663,13365,11293,10026,11317,13004,12806,12099,13502,11954,14106,13794,12237,15026,14193,11580,13252,12374.43
South Africa,Renewable sources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1010,1980,752,146,1074,529,1379,2238,1826,923,1408,2292,2642,966,1233,1629,3211,1197,1551,1752,2480,2437,1593,1507,3345,5817,7760,10085.589,12253.459,12606.132,12103.163
South Africa,Total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,165385,166512,166757,173361,180173,185381,199496,207754,202954,200422,207837,208173,218564,231248,240930,242055,250851,260500,255519,246815,256648,259576,254913,253192,249471,246736,249453,250655.327,251807.228,247579.321,234661.818
Thailand,Fossil fuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39200,45598,52859,59704,66662,73082,81640,85681,84554,85637,89440,95623,100854,108531,118405,124867,129145,133704,137592,138086,150494,143098,151633,156420,158035,163205,162902,156066.451,151991.842,156933.721,156551.752
Thailand,Nuclear,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,Renewable sources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4976,4587,4239,3703,4515,7001,8202,7545,5498,4402,6537,6797,8159,8452,7322,7330,9597,9935,9752,10254,8968,12582,13790,13693,14173,14022,25363,25873.227,30296.604,33747.623,29628.248
Thailand,Total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44176,50185,57098,63407,71177,80083,89842,93226,90052,90039,95977,102420,109013,116983,125727,132197,138742,143639,147344,148340,159462,155680,165423,170113,172208,177227,188265,181939.678,182288.446,190681.344,186180
Non-OECD Total,Fossil fuels,1058601.008,1154666.367,1251356.139,1299523.92,1402696.26,1513359.65,1587147.5,1680314.85,1774361.77,1858232.85,1920803.26,2023112.97,2118535.4,2218823.86,2308950.5,2470982.08,2626351.44,2728520.88,2857795.54,2909264.44,2964653.92,3005790.79,3059281.03,3082005.54,3222155.49,3374529.48,3498781.48,3585812.57,3769615.12,4019929.55,4191810.21,4477026.32,4885272.87,5257689.24,5635886.11,6164581.06,6696587.84,6931215.41,7136643.81,7808990.72,8441105.97,8747918.98,9207559.564,9621392.271,9715161.619,9999196.769,10452837.42,10796433.84,10999457.03,..
Non-OECD Total,Nuclear,7394,10437,14700,30629,48302,55423,57313,64477,73184,92707,112065,126438,152318,198352,232701,224140,258201,289486,282753,266416,267841,264209,265702,255776,265120,293599,297611,291803,307962.12,333067.49,346870.59,365094,391293,398903,406015,421700,431073,442447,443170.44,467917.4,495674.56,508702.11,516744.79,555144.54,599110.62,642664,680694.245,729914.898,804184.767,818259.723
Non-OECD Total,Renewable sources,344035.11,363991.694,381935.846,422680.28,444578.92,473039.1,512123.75,560861.22,597425.06,643262.06,666409.24,675784,705597.27,766782.29,804559.29,842948.09,861747.09,916746.45,936895.83,942846.99,977322.37,990368.557,1039410.469,1105603.633,1140053.709,1137937.517,1176201.419,1228838.238,1242037.227,1277852.768,1324163.428,1349764.434,1388102.749,1527981.507,1655446.372,1749859.054,1842062.245,1935229.999,2038679.686,2237909.273,2299931.278,2516997.548,2709469.992,2876952.492,2983043.699,3243513.173,3451217.555,3762031.226,3979419.278,..
Non-OECD Total,Total,1410030.118,1529095.061,1647991.985,1752833.2,1895577.18,2041821.75,2156584.25,2305653.07,2444970.83,2594201.91,2699277.5,2825334.97,2976450.67,3183958.15,3346210.79,3538155.17,3746384.53,3934838.33,4077529.37,4118612.43,4210067.29,4262501.347,4366446.499,4445256.173,4629247.199,4808058.997,4974599.899,5108551.808,5322791.467,5634849.808,5867716.228,6196942.754,6669019.619,7189180.247,7703072.982,8341753.614,8975308.085,9314350.909,9624206.436,10530229.39,11253948.81,11791204.14,12454139.85,13074840.8,13317107.44,13904795.94,14609023.56,15311912.92,15804091.67,..
Africa,Fossil fuels,67976,72858,80415,85203,93795,99727,103439,111238,122213,136390,155495,165470,176352,192245,203357,208237,224912,229697,237930,250341,253219,259362,273653,282326,290454,307913,322239,324298,332604,351810,364230,389679,410750,436061,456771,479450,502315,494830,496784,543988,547995,575539,585328.205,599475.531,623272.269,630292.939,644546.291,651867.378,665297.438,..
Africa,Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,3925,5315,8803,6167,10493,11099,8449,9144,9288,7255,9697,11301,11775,12647,13601,12837,13010,10719,11991,12663,13365,11293,10026,11317,13004,12806,12099,13502,11954,14106,13794,12237,15026,14193,11580,13252,12374.43
Africa,Renewable sources,23661,28962,30357,36426,38383,42482,46313,44547,48099,47647,49667,49762,44929,44324,48111,51002,48300,53269,56283,57079,61731,58757,58369,59172,61388,64045,65630,68592,73740,77045,84489,86681,85409,90487,92769,96940,98905,100521,104306,115771,116369.593,118210.291,125392.221,135545.035,138177.93,140249.756,148981.227,163149.536,170423.904,..
Africa,Total,91637,101820,110772,121629,132178,142209,149752,155785,170312,184037,205162,215232,221281,240494,256783,268042,279379,293459,305312,315869,324094,327407,339277,351195,363143,383733,400516,406491,419181,441972,459537,488502,508967,540074,560975,586446,612585,608401,613945,672424,678162.593,706038.291,726440.426,750385.566,775239.199,787142.695,809303.784,828270.423,850619.361,..
Non-OECD Americas,Fossil fuels,62109,66205,70686,68748,69695,74846,81999,85433,91539,95432,97213,96076,97695,96958,95076,107406,107263,115850,117187,109838,111592,119370,120971,124331,137765,148651,153167,167266,188736,195261,204870,206982,215791,235489,242719,252072,264019,293522,272271,311758,304993,351039,391060,419483,431128,394160,365015.557,347734.919,343452.305,..
Non-OECD Americas,Nuclear,0,0,0,1036,2517,2572,1637,2896,2692,2340,2816,1870,3406,6284,9147,5855,7438,6406,6869,9518,9198,8840,8192,8290,9585,9886,11130,10718,11083,12223,21338,19657,20924,19480,16728,21445,19567,21299,21119,21694,22030,22433,21657,20892,21773,24149,21852.809,22575.403,24606.982,24759.422
Non-OECD Americas,Renewable sources,63950,71992,81883,94121,102526,115708,129121,142670,163162,183219,188150,203610,220975,243305,262375,280930,299022,309340,317129,333393,352761,362788,387103,408006,421765,440143,469805,483842,486906,512956,477510,501062,524265,544214,575697,598785,629469,633923,659454,676405,713091,708692,701164,672877,688606,723152,735757.389,767924.69,772348.168,..
Non-OECD Americas,Total,126059,138197,152569,163905,174738,193126,212757,230999,257393,280991,288179,301556,322076,346547,366598,394191,413723,431596,441185,452749,473551,490998,516266,540627,569115,598680,634102,661826,687091,720812,704154,728115,761432,799717,835949,872988,914240,949224,953427,1010240,1040670,1082447,1114221,1113644,1141929,1141917,1125540.339,1141092.237,1143187.213,..
Non-OECD Asia (including China),Fossil fuels,197743.008,221249.367,239643.139,242691.92,277850.26,301562.65,332191.5,374557.85,404570.77,430380.85,438112.26,464999.97,492733.4,535157.86,585670.5,652509.08,740385.44,814637.88,890831.54,949364.44,1061586.92,1175417.79,1294868.03,1391264.54,1525873.49,1662173.48,1774215.48,1837119.57,1973328.12,2139465.55,2254100.21,2476157.32,2786208.87,3075527.24,3374399.11,3766872.06,4198183.84,4309814.41,4592978.81,5053141.72,5613888.97,5776365.98,6175951.36,6490548.14,6512990.95,6789906.03,7209362.983,7528923.426,7698864.246,..
Non-OECD Asia (including China),Nuclear,1294,1237,2700,2665,3231,3862,2792,5671,9312,11202,13839,15289,22678,28988,34055,32393,38665,36722,32931,39300,41200,41153,41853,55786,56614,61543,61145,63130,67013.12,74139.49,74723.59,85810,101774,109765,112868,115803,122703,125766,133235.44,145195.4,166017.56,175235.11,192569.79,216832.54,249278.62,289863,318741.531,369763.007,437157.867,451223.659
Non-OECD Asia (including China),Renewable sources,80946.11,84620.694,93330.846,99847.28,109690.92,113169.1,116914.75,126970.22,134604.06,143501.06,159784.24,169787,186989.27,198543.29,205134.29,217237.09,215571.09,241621.45,262339.83,281524.89,280023.57,290966.72,307392.21,346089.89,368066.84,360235.64,369745.58,395802.84,395821.61,412815.49,476916.76,483447.84,499567.44,583078.36,658035.876,732064.401,801122.789,915481.089,970989.496,1119424.155,1170188.083,1387332.234,1540467.625,1736347.156,1836004.05,2029343.655,2224022.715,2459563.382,2666996.746,..
Non-OECD Asia (including China),Total,279983.118,307107.061,335673.985,345204.2,390772.18,418593.75,451898.25,507199.07,548486.83,585083.91,611735.5,650075.97,702400.67,762689.15,824859.79,902224.17,994706.53,1093066.33,1186187.37,1270274.33,1383060.49,1507797.51,1644374.24,1793432.43,1950919.33,2084418.12,2205608.06,2296657.41,2436899.85,2627410.53,2807232.56,3047113.16,3389532.31,3770497.1,4147466.486,4616933.961,5124372.629,5353473.999,5699653.246,6329463.275,6963704.613,7352865.824,7924396.275,8459904.336,8612667.12,9123839.685,9769108.915,10374515.14,10816459.03,..
Non-OECD Europe and Eurasia,Fossil fuels,714812,775907,836605,875862,930250,1000561,1027139,1060694,1092336,1123028,1145295,1193022,1234443,1257580,1274529,1342330,1379846,1380702,1413195,1388057,1324842,1210458,1100692,994102,963828,933623,905445,884401,877169,911653,922399,928154,972011,976675,993040,1056150,1080769,1122872,1030165,1088675,1137804,1152104,1133429.999,1115816.6,1101041.4,1110768.8,1106484.41,1131955.89,1124866.012,..
Non-OECD Europe and Eurasia,Nuclear,6100,9200,12000,26928,42554,48989,52884,55910,61180,79165,95410,109279,126234,159155,184184,177089,205931,235865,231854,209149,208299,204928,208402,182003,187620,210395,212689,204354,217029,233695,240090,247636,255932,256293,265126,274426,277486,282378,276010,288929,293798,297233,283866,299154,312908,307006,318393.241,318546.036,322020.138,322965.465
Non-OECD Europe and Eurasia,Renewable sources,171709,173820,172738,187315,188523,195216,212428,236822,241908,259174,258461,241969,242539,270340,278852,282239,284375,299162,287733,258927.1,271598.8,264250.837,272796.259,280946.743,277789.869,262179.877,260154.839,269465.398,276892.617,267004.278,275725.668,266751.594,263230.309,293727.147,301337.496,292883.653,284561.456,273302.91,290686.19,308315.118,280693.602,281443.023,318273.146,311964.301,301678.719,327816.762,320988.497,347479.228,341227.727,..
Non-OECD Europe and Eurasia,Total,892621,958927,1021343,1090105,1161327,1244766,1292451,1353426,1395424,1461367,1499166,1544270,1603216,1687075,1737565,1801658,1870152,1915729,1932782,1856133.1,1804739.8,1681509.837,1583682.259,1458630.743,1430790.869,1407724.877,1379792.839,1359713.398,1373164.617,1414883.278,1441059.668,1445336.594,1492945.309,1528480.147,1562118.496,1626162.653,1644805.456,1681072.91,1599492.19,1688680.118,1715070.602,1733815.023,1738573.145,1730146.901,1719052.119,1748256.562,1748660.957,1800718.055,1791278.516,..
Middle East,Fossil fuels,15961,18447,24007,27019,31106,36663,42379,48392,63703,73002,84688,103545,117312,136883,150318,160500,173945,187634,198652,211664,213414,241183,269097,289982,304235,322169,343715,372728,397778,421740,446211,476054,500512,533937,568957,610037,651301,710177,744445,811428,836425,892871,921790,996069,1046729,1074069,1127428.175,1135952.222,1166977.03,..
Middle East,Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,1847,4546,4472,2914,6620,7513.664,7450.452,7147.78,6936.747
Middle East,Renewable sources,3769,4597,3627,4971,5456,6464,7347,9852,9652,9721,10347,10656,10165,10270,10087,11540,14479,13354,13411,11923,11208,13606,13750,11389,11044,11334,10866,11136,8677,8032,9522,11822,15631,16475,27607,29186,28004,12002,13244,17994,19589,21320,24173,20219,18577,22951,21467.727,23914.39,28422.733,..
Middle East,Total,19730,23044,27634,31990,36562,43127,49726,58244,73355,82723,95035,114201,127477,147153,160405,172040,188424,200988,212063,223587,224622,254789,282847,301371,315279,333503,354581,383864,406455,429772,455733,487876,516143,550412,596564,639223,679305,722179,757689,829422,856341,916038,950509,1020760,1068220,1103640,1156409.566,1167317.064,1202547.543,..
IEA Total,Fossil fuels,2831897,3072248,3339306,3236888,3227975,3529205,3633921,3716817,3841512,3913843,3848728,3715976,3769934,3877987,3909465,3894985,4062302,4194289,4505156,4536203.915,4614900.611,4655221.796,4695771.528,4892743.89,4963988.255,5104749.722,5245344.163,5434153.428,5548622.057,5853138.785,5796260.917,5996484.627,6163297.584,6246942.162,6427496.15,6438436.81,6696712.926,6623721.199,6232468.325,6546924.451,6563616.377,6572339.882,6433661.319,6294573.357,6235175.391,6193855.508,6100289.453,6146739.035,5861285.947,5519900.615
IEA Total,Nuclear,103693,142038,188496,242082,335311,385175,479629,561515,575569,620668,730245,783530,882812,1056992,1259397,1377191,1479604,1601763,1656336,1724830.703,1815993.852,1840870.068,1908584.053,1974207.701,2050229.999,2105005.607,2078447.424,2134810.898,2208627.864,2244376.543,2274195.512,2276014.715,2223367.328,2318548.148,2345715.543,2355572.205,2272628.228,2274470.915,2236419.614,2282714.48,2080749.766,1946055.43,1957060.421,1973890.009,1965312.036,1960022.808,1949137.721,1973409.362,1979688.378,1854242.737
IEA Total,Renewable sources,883451,925386,923844,1019943,1024815,986848,995056,1064661,1114234,1103557,1124131,1160431,1213334,1217645,1212361,1209414,1196432,1211974,1241722,1302258.685,1299686.004,1302623.829,1380062.15,1337895.021,1426365.699,1464188.34,1467157.701,1437943.637,1449834.814,1483402.023,1384980.229,1456981.089,1456000.749,1517344.876,1555492.049,1608165.207,1622209.814,1719409.501,1764687.781,1869751.539,2008200.99,2110083.363,2244765.918,2316105.29,2416518.136,2532263.435,2667843.017,2785590.949,2905658.889,3118446.931
IEA Total,Total,3819109,4139759,4451718,4500934,4590231,4903632,5110980,5345503,5534113,5640887,5705341,5663016,5868673,6155498,6384011,6484743,6741390,7011693,7407598,7598938.66,7771385.755,7842047.003,8022579.122,8246749.272,8485411.703,8721540.646,8839368.534,9053542.375,9254357.026,9631143.416,9509300.308,9784609.164,9896794.77,10139704.71,10389604.66,10461479.91,10649685.13,10676446.36,10297518.26,10771172.6,10728375.49,10705249.1,10713187.27,10663280.16,10696132.75,10774993.52,10806676.32,11006485.24,10849175.34,10589829.39
IEA and Accession/Association countries,Fossil fuels,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5546136.355,5719194.531,5854543.586,6004564.558,6303028.43,6494817.745,6768535.202,7012108.643,7247002.998,7498135.177,7945215.335,7997175.127,8402386.947,8868954.454,9230827.402,9688903.26,10082852.87,10768176.77,10822463.61,10666952.14,11446020.17,12003446.35,12200926.86,12485695.68,12635114.5,12556828.34,12696160.54,12989248.33,13309332.27,13151977.78,12895388.97
IEA and Accession/Association countries,Nuclear,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1758690.703,1849104.852,1873281.068,1935543.053,2012069.701,2096686.999,2156558.607,2130788.424,2191252.898,2263501.984,2305491.033,2347502.102,2360500.715,2325994.328,2426106.148,2447612.543,2461648.205,2385215.228,2394658.915,2361805.054,2409482.88,2228547.326,2104307.54,2132457.211,2171701.549,2200485.656,2242115.808,2265485.917,2332834.849,2403896.652,2289945.845
IEA and Accession/Association countries,Renewable sources,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1763504.575,1777665.574,1790990.549,1904402.36,1903284.911,2024128.539,2073457.98,2101053.281,2102556.477,2108311.424,2173867.513,2103131.989,2205379.929,2234371.189,2399400.236,2527611.925,2662421.608,2768631.603,2974463.092,3095833.439,3361054.4,3566713.447,3858740.556,4121455.52,4379038.928,4583676.521,4908585.593,5225593.146,5604496.178,5966888.336,6321010.239
IEA and Accession/Association countries,Total,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9104099.99,9387049.245,9562408.513,9882933.362,10260552.7,10660735.03,11046427.77,11292658.59,11587743.79,11917891.88,12475507.95,12502649.87,13024421.32,13484596.08,14114455.81,14726590.15,15267694.87,15982269.76,16252146.87,16190588.67,17299144.58,17887289.48,18253458.88,18833000.52,19281187.98,19434697.21,19950693.71,20589646.76,21366327.3,21641349.85,21619592.25
World,Fossil fuels,3905413.008,4241816.367,4606277.139,4552612.92,4646590.26,5059894.65,5239585.5,5417163.85,5637486.77,5794235.85,5792533.26,5762391.97,5913042.4,6122786.86,6244841.5,6392578.08,6716964.44,6954549.88,7398391.54,7501380.355,7634402.531,7710171.586,7803027.558,8026163.43,8241585.745,8539261.202,8813100.643,9099733.998,9398734.177,9955422.335,10071993.13,10558824.95,11138797.45,11598326.4,12156698.26,12699495.87,13500674.77,13663492.61,13480833.14,14480765.17,15126682.35,15451913.86,15781936.88,16046172.63,16094265.01,16339136.28,16687929.51,17081705.24,17007627.45,..
World,Nuclear,111087,152475,203196,272711,383613,440598,536942,625992,648753,713375,842310,909968,1035130,1255344,1492098,1601331,1737805,1891249,1939089,2012901.703,2105786.852,2123688.068,2190502.053,2242298.701,2331950.999,2417193.607,2393101.424,2445209.898,2531147.984,2590624.033,2637685.102,2660778.715,2635351.328,2738012.148,2767951.543,2791471.205,2719229.228,2733084.915,2696181.054,2756288.88,2582639.326,2460285.54,2479105.211,2535404.549,2570070.656,2608401.808,2636117.238,2709100.699,2789694.402,2678855.226
World,Renewable sources,1240596.11,1304208.694,1321597.846,1460175.28,1487172.92,1478350.1,1527435.75,1647794.22,1735576.06,1772444.06,1816565.24,1864239,1948070.27,2015884.29,2050693.29,2090073.09,2098889.09,2170737.45,2220948.83,2295134.675,2330884.374,2344930.386,2478372.619,2506727.654,2630908.408,2667693.857,2707955.12,2729685.875,2754832.041,2828064.791,2779605.657,2880125.523,2918552.498,3126443.383,3295749.421,3448808.261,3553927.059,3753573.002,3900750.629,4201345.081,4410656.504,4729751.103,5060522.017,5302668.714,5511268.895,5891550.903,6250190.754,6679673.151,7014495.554,..
World,Total,5257164.118,5698587.061,6131142.985,6287520.2,6519506.18,6981246.75,7306337.25,7693460.07,8024613.83,8282873.91,8453645.5,8539677.97,8898835.67,9396889.15,9790420.79,10087220.17,10556795.53,11020288.33,11562898.37,11845185.09,12112163.05,12224271.35,12512133.62,12818985.45,13251219.9,13673772.64,13964626.43,14323414.18,14735224.49,15428428.22,15548087.54,16160053.92,16751354.39,17524432.95,18287231.64,19004896.53,19837787.21,20214914.77,20148059.86,21525992.26,22213368.54,22736539.43,23420063.22,23984892.89,24274857.25,24947744.76,25688502.59,26595243.41,26935958.13,..
