Country,Year,Fossil fuels,Nuclear,Renewable sources,Total
Australia,1971,41201,0,11844,53045
Australia,1972,43730,0,11853,55583
Australia,1973,52662,0,11749,64411
Australia,1974,55974,0,13629,69603
Australia,1975,58406,0,15173,73579
Australia,1976,60843,0,15549,76392
Australia,1977,68911,0,13576,82487
Australia,1978,71507,0,14287,85794
Australia,1979,74856,0,15787,90643
Australia,1980,81907,0,13327,95234
Australia,1981,87728,0,14480,102208
Australia,1982,90301,0,14112,104413
Australia,1983,92954,0,12563,105517
Australia,1984,98977,0,12527,111504
Australia,1985,105542,0,14118,119660
Australia,1986,110412,0,14962,125374
Australia,1987,117456,0,14067,131523
Australia,1988,123265,0,15029,138294
Australia,1989,131817,0,15265,147082
Australia,1990,139389,0,14898,154287
Australia,1991,139946,0,16590,156536
Australia,1992,143107,0,16019,159126
Australia,1993,146016,0,17220,163236
Australia,1994,150127,0,17042,167169
Australia,1995,156174,0,16631,172805
Australia,1996,160913,0,16362,177275
Australia,1997,165092,0,17507,182599
Australia,1998,178571,0,16448,195019
Australia,1999,186229,0,17398,203627
Australia,2000,192274,0,17590,209864
Australia,2001,206103,0,18162,224265
Australia,2002,209504,0,17874,227378
Australia,2003,201967,0,18619,220586
Australia,2004,209530,0,18683,228213
Australia,2005,208244,0,20103,228347
Australia,2006,211085,0,21642,232727
Australia,2007,221966,0,21013,242979
Australia,2008,223347,0,19726,243073
Australia,2009,229493,0,18602,248095
Australia,2010,230893,0,21721,252614
Australia,2011,227433,0,26273,253706
Australia,2012,224509,0,26318,250827
Australia,2013,216511,0,32704,249215
Australia,2014,211256,0,36112,247368
Australia,2015,217871,0,33423,251294
Australia,2016,219115,0,37151,256266
Australia,2017,217564,0,40207,257771
Australia,2018,216366,0,44415,260781
Australia,2019,212002,0,51658,263660
Australia,2020,205248,0,59545,264793
Austria,1971,11752,0,16450,28202
Austria,1972,11939,0,16986,28925
Austria,1973,11964,0,18952,30916
Austria,1974,11005,0,22400,33405
Austria,1975,11242,0,23691,34933
Austria,1976,14561,0,20273,34834
Austria,1977,12540,0,24788,37328
Austria,1978,12875,0,24802,37677
Austria,1979,12267,0,27930,40197
Austria,1980,12551,0,29049,41600
Austria,1981,10889,0,31347,42246
Austria,1982,10848,0,31371,42235
Austria,1983,10767,0,31165,41972
Austria,1984,11965,0,29674,41663
Austria,1985,11839,0,31873,43742
Austria,1986,11544,0,32395,43977
Austria,1987,12712,0,36933,49688
Austria,1988,11244,0,36853,48149
Austria,1989,12727,0,36391,49155
Austria,1990,16607,0,32635,49296
Austria,1991,17483,0,32649,50181
Austria,1992,13718,0,36154,49939
Austria,1993,13261,0,38049,51371
Austria,1994,15156,0,36896,52111
Austria,1995,16202,0,38904,55178
Austria,1996,17549,0,35790,53574
Austria,1997,17714,0,37819,55685
Austria,1998,16784,0,39031,55910
Austria,1999,17402,0,42348,59916
Austria,2000,16292,0,43435,59874
Austria,2001,18597,0,42232,61067
Austria,2002,18570,0,41895,60706
Austria,2003,22537,0,35251,58097
Austria,2004,21882,0,39627,61948
Austria,2005,23158,0,40885,64490
Austria,2006,21062,0,40669,62302
Austria,2007,19164,0,43177,62939
Austria,2008,19378,0,44531,64515
Austria,2009,18513,0,47177,66315
Austria,2010,22328,0,44998,67933
Austria,2011,20787,0,40908,62270
Austria,2012,16682,0,51328,68709
Austria,2013,13471,0,50491,64595
Austria,2014,10855,0,50186,61612
Austria,2015,13587,0,47582,61865
Austria,2016,13457,0,51082,65271
Austria,2017,15681,0,51055,67443
Austria,2018,14254,0,50054,65037
Austria,2019,15675,0,54380,70856
Austria,2020,13037,0,55424,69210
Belgium,1971,33103,0,134,33237
Belgium,1972,36869,11,180,37060
Belgium,1973,40252,76,287,40615
Belgium,1974,41818,148,348,42314
Belgium,1975,33768,6784,266,40818
Belgium,1976,36921,10036,166,47123
Belgium,1977,34459,11939,471,46869
Belgium,1978,37563,12513,483,50559
Belgium,1979,39949,11407,549,51905
Belgium,1980,39964,12549,578,53091
Belgium,1981,36520,12859,672,50051
Belgium,1982,33719,15664,379,49978
Belgium,1983,27208,24106,358,51869
Belgium,1984,25366,27743,375,53690
Belgium,1985,21057,34601,340,56259
Belgium,1986,17407,39394,462,57621
Belgium,1987,19393,41967,577,62327
Belgium,1988,20478,43102,547,64541
Belgium,1989,24707,41217,503,66877
Belgium,1990,26574,42722,555,70292
Belgium,1991,27281,42861,536,71186
Belgium,1992,26735,43456,617,71410
Belgium,1993,27005,41927,507,70068
Belgium,1994,29479,40624,600,71341
Belgium,1995,30771,41356,668,73516
Belgium,1996,30506,43336,561,75138
Belgium,1997,29241,47408,588,77861
Belgium,1998,34506,46165,759,82075
Belgium,1999,32794,49017,850,83366
Belgium,2000,32804,48157,1044,82773
Belgium,2001,30208,46349,1075,78618
Belgium,2002,31500,47360,1138,80939
Belgium,2003,34224,47379,1192,83561
Belgium,2004,34634,47312,1497,84353
Belgium,2005,35082,47595,2106,85709
Belgium,2006,33615,46645,2952,84348
Belgium,2007,34528,48227,3486,87528
Belgium,2008,32287,45568,4418,83583
Belgium,2009,35747,47222,5439,89806
Belgium,2010,38518,47944,6631,94541
Belgium,2011,31169,48234,8334,89205
Belgium,2012,29370,40295,10513,81732
Belgium,2013,26231,42644,11731,82172
Belgium,2014,23818,33703,12266,71473
Belgium,2015,26346,26103,14512,68725
Belgium,2016,24951,43523,14353,84694
Belgium,2017,25620,42227,15868,85648
Belgium,2018,26490,28597,17152,74083
Belgium,2019,28101,43524,19516,92867
Belgium,2020,28443,34435,23397,87865
Canada,1971,55105,4267,162461,221833
Canada,1972,57277,7211,181639,246127
Canada,1973,60173,15254,194654,270081
Canada,1974,58152,14696,210667,283515
Canada,1975,62040,12570,202470,277080
Canada,1976,67408,17416,213396,298220
Canada,1977,74468,26342,221216,322026
Canada,1978,75319,31202,236386,342907
Canada,1979,78373,35271,245466,359110
Canada,1980,82798,38032,252448,373278
Canada,1981,82480,40067,267913,390460
Canada,1982,89078,38337,259934,387349
Canada,1983,91183,48610,268037,407830
Canada,1984,96340,52210,288460,437010
Canada,1985,93061,60521,305322,458908
Canada,1986,84707,71267,312500,468478
Canada,1987,100465,77261,318518,496248
Canada,1988,113047,82867,309920,505838
Canada,1989,124767,79872,294827,499470
Canada,1990,108342,72967,300691,482041
Canada,1991,111242,84930,312248,508461
Canada,1992,118746,80582,320904,520279
Canada,1993,109691,93937,328435,532117
Canada,1994,112156,107834,335629,555673
Canada,1995,120481,97844,341626,560005
Canada,1996,118555,92767,361553,572929
Canada,1997,133373,82528,357645,573600
Canada,1998,150814,71511,339270,561649
Canada,1999,151180,73491,354220,578945
Canada,2000,165750,72799,366993,605596
Canada,2001,170766,76695,342265,589780
Canada,2002,165566,75526,360012,601158
Canada,2003,167264,74892,347332,589542
Canada,2004,158825,90387,350599,599865
Canada,2005,157180,92040,371381,620669
Canada,2006,148724,97964,363056,609815
Canada,2007,155903,93482,378468,627924
Canada,2008,148521,96020,388488,633103
Canada,2009,133046,90091,383340,608489
Canada,2010,139762,90658,369445,602945
Canada,2011,141436,93589,395675,633309
Canada,2012,132107,94862,402187,631987
Canada,2013,130342,103439,421251,657584
Canada,2014,133107,107280,415910,658651
Canada,2015,134604,101809,421186,657833
Canada,2016,131951,101429,430044,663697
Canada,2017,120209,101299,441055,662861
Canada,2018,119350,100731,433242,653669
Canada,2019,116519,101197,427296,645318
Canada,2020,107233,98211,435072,640764
Chile,1971,3649,0,4875,8524
Chile,1972,3147,0,5787,8934
Chile,1973,3120,0,5646,8766
Chile,1974,2887,0,6410,9297
Chile,1975,2293,0,6439,8732
Chile,1976,2605,0,6672,9277
Chile,1977,2727,0,7049,9776
Chile,1978,3018,0,7342,10360
Chile,1979,3592,0,7542,11134
Chile,1980,3775,0,7976,11751
Chile,1981,3718,0,8260,11978
Chile,1982,2820,0,9051,11871
Chile,1983,2803,0,9821,12624
Chile,1984,3321,0,10176,13497
Chile,1985,2775,0,11265,14040
Chile,1986,2634,0,12110,14744
Chile,1987,2543,0,13094,15637
Chile,1988,4030,0,12885,16915
Chile,1989,6947,0,10864,17811
Chile,1990,8481,0,9891,18372
Chile,1991,5794,0,14167,19961
Chile,1992,3870,0,18493,22363
Chile,1993,4401,0,19602,24003
Chile,1994,6505,0,18772,25277
Chile,1995,7734,0,20293,28027
Chile,1996,12154,0,18579,30733
Chile,1997,12608,0,20689,33297
Chile,1998,18404,0,17105,35509
Chile,1999,23790,0,14600,38390
Chile,2000,20621,0,19457,40078
Chile,2001,19453,0,23078,42531
Chile,2002,19455,0,24216,43671
Chile,2003,23341,0,23488,46829
Chile,2004,27191,0,24017,51208
Chile,2005,24204,0,28280,52484
Chile,2006,24753,0,30567,55320
Chile,2007,32674,0,25835,58509
Chile,2008,32390,0,27314,59704
Chile,2009,30976,0,29649,60722
Chile,2010,36026,0,24296,60434
Chile,2011,39693,0,26020,65713
Chile,2012,44330,0,25421,69751
Chile,2013,46841,0,26060,73065
Chile,2014,40113,0,30349,70753
Chile,2015,42515,0,32872,75387
Chile,2016,44989,0,34319,79308
Chile,2017,44540,0,34876,79417
Chile,2018,44237,0,38075,82313
Chile,2019,45170,0,39388,84558
Chile,2020,43252,0,38599,81851
Colombia,1971,3578,0,6663,10241
Colombia,1972,3229,0,7298,10527
Colombia,1973,3688,0,7939,11627
Colombia,1974,4083,0,8849,12932
Colombia,1975,3841,0,9090,12931
Colombia,1976,4307,0,9399,13706
Colombia,1977,4612,0,10645,15257
Colombia,1978,5087,0,12276,17363
Colombia,1979,5529,0,13476,19005
Colombia,1980,5934,0,14512,20446
Colombia,1981,6274,0,14503,20777
Colombia,1982,6833,0,15349,22182
Colombia,1983,7409,0,15496,22905
Colombia,1984,7988,0,17306,25294
Colombia,1985,8217,0,18610,26827
Colombia,1986,7944,0,21486,29430
Colombia,1987,8096,0,23401,31497
Colombia,1988,8361,0,24651,33012
Colombia,1989,8037,0,26933,34970
Colombia,1990,8586,0,27771,36357
Colombia,1991,8995,0,27995,36990
Colombia,1992,10323,0,22621,32944
Colombia,1993,10313,0,28246,38559
Colombia,1994,8906,0,32503,41409
Colombia,1995,10079,0,32637,42716
Colombia,1996,7375,0,35987,43362
Colombia,1997,12648,0,31957,44605
Colombia,1998,13583,0,31314,44897
Colombia,1999,8624,0,34198,42822
Colombia,2000,10555,0,32576,43131
Colombia,2001,11148,0,32300,43448
Colombia,2002,10583,0,34465,45048
Colombia,2003,9872,0,36675,46547
Colombia,2004,9123,0,40603,49726
Colombia,2005,9982,0,40362,50344
Colombia,2006,10430,0,43342,53772
Colombia,2007,10198,0,45034,55232
Colombia,2008,8944,0,47001,55945
Colombia,2009,15500,0,41656,57156
Colombia,2010,17764,0,42865,60629
Colombia,2011,11261,0,50926,62187
Colombia,2012,13941,0,49598,63539
Colombia,2013,22627,0,51374,74001
Colombia,2014,21776,0,49296,71072
Colombia,2015,28580,0,50016,78596
Colombia,2016,26182,0,50618,76800
Colombia,2017,16401,0,62879,79280
Colombia,2018,18508,0,61455,79963
Colombia,2019,24052,0,56364,80416
Colombia,2020,21059,0,50817,71876
Czech Republic,1971,35164,0,1208,36372
Czech Republic,1972,38315,0,1264,39579
Czech Republic,1973,40093,0,1081,41174
Czech Republic,1974,41321,0,1819,43140
Czech Republic,1975,44094,0,1814,45908
Czech Republic,1976,46783,0,1446,48229
Czech Republic,1977,49227,0,1967,51194
Czech Republic,1978,51835,0,1830,53665
Czech Republic,1979,48956,0,2293,51249
Czech Republic,1980,50257,0,2399,52656
Czech Republic,1981,51516,0,2061,53577
Czech Republic,1982,52977,0,1670,54647
Czech Republic,1983,54796,200,1655,56651
Czech Republic,1984,55487,1239,1298,58024
Czech Republic,1985,54053,2397,1671,58121
Czech Republic,1986,52581,6149,1876,60606
Czech Republic,1987,49030,10701,2465,62196
Czech Republic,1988,50419,11816,2099,64334
Czech Republic,1989,51070,12418,1643,65131
Czech Republic,1990,48525,12585,1161,62271
Czech Republic,1991,47077,12132,1089,60298
Czech Republic,1992,45405,12250,1402,59057
Czech Republic,1993,44497,12627,1530,58654
Czech Republic,1994,43631,12977,1781,58389
Czech Republic,1995,45938,12230,2407,60575
Czech Republic,1996,48712,12850,2261,63823
Czech Republic,1997,49530,12494,2193,64217
Czech Republic,1998,49463,13178,1983,64624
Czech Republic,1999,48444,13357,2358,64159
Czech Republic,2000,57031,13590,2284,72911
Czech Republic,2001,56903,14749,2577,74234
Czech Republic,2002,54252,18738,2998,75995
Czech Republic,2003,55058,25872,1879,82816
Czech Republic,2004,54716,26325,2741,83790
Czech Republic,2005,54063,24728,3132,81931
Czech Republic,2006,54080,26046,3520,83654
Czech Republic,2007,58172,26172,3410,87764
Czech Republic,2008,53001,26551,3731,83295
Czech Republic,2009,49760,27208,4654,81632
Czech Republic,2010,51300,27998,5902,85312
Czech Republic,2011,51094,28283,7248,86776
Czech Republic,2012,48159,30324,8065,86687
Czech Republic,2013,45815,30745,9309,86008
Czech Republic,2014,45442,30325,9172,85096
Czech Republic,2015,46195,26841,9422,82616
Czech Republic,2016,48443,24104,9384,82107
Czech Republic,2017,47724,28340,9621,85880
Czech Republic,2018,47429,29921,9425,86981
Czech Republic,2019,45358,30246,10051,85864
Czech Republic,2020,39604,30043,10291,80150
Denmark,1971,18600,0,24,18624
Denmark,1972,20550,0,24,20574
Denmark,1973,19096,0,24,19120
Denmark,1974,18279,0,24,18303
Denmark,1975,18240,0,24,18264
Denmark,1976,20485,0,24,20509
Denmark,1977,22042,0,22,22064
Denmark,1978,20392,0,26,20418
Denmark,1979,22080,0,31,22111
Denmark,1980,26724,0,41,26765
Denmark,1981,19719,0,44,19763
Denmark,1982,23676,0,50,23726
Denmark,1983,22085,0,94,22179
Denmark,1984,22576,0,96,22672
Denmark,1985,29027,0,117,29144
Denmark,1986,30577,0,206,30783
Denmark,1987,29225,0,264,29489
Denmark,1988,27663,0,405,28070
Denmark,1989,22351,0,577,22933
Denmark,1990,25134,0,825,25982
Denmark,1991,35424,0,1057,36545
Denmark,1992,29272,0,1352,30738
Denmark,1993,32182,0,1607,33974
Denmark,1994,38603,0,1743,40578
Denmark,1995,34616,0,1852,36759
Denmark,1996,51128,0,2079,53582
Denmark,1997,40963,0,2929,44315
Denmark,1998,36758,0,3925,41113
Denmark,1999,34021,0,4379,38920
Denmark,2000,29886,0,5572,36053
Denmark,2001,31276,0,5846,37729
Denmark,2002,31862,0,6789,39287
Denmark,2003,37420,0,8078,46186
Denmark,2004,30252,0,9519,40430
Denmark,2005,25618,0,9812,36246
Denmark,2006,35586,0,9201,45611
Denmark,2007,28216,0,10305,39316
Denmark,2008,25665,0,10096,36616
Denmark,2009,25528,0,10064,36384
Denmark,2010,25686,0,12429,38862
Denmark,2011,20270,0,14181,35229
Denmark,2012,15134,0,14837,30701
Denmark,2013,18060,0,15967,34742
Denmark,2014,13476,0,17984,32184
Denmark,2015,9252,0,18937,28941
Denmark,2016,11444,0,18390,30538
Denmark,2017,8502,0,21798,31023
Denmark,2018,8903,0,20761,30368
Denmark,2019,5654,0,23083,29526
Denmark,2020,4509,0,23469,28751
Estonia,1971,0,0,0,0
Estonia,1972,0,0,0,0
Estonia,1973,0,0,0,0
Estonia,1974,0,0,0,0
Estonia,1975,0,0,0,0
Estonia,1976,0,0,0,0
Estonia,1977,0,0,0,0
Estonia,1978,0,0,0,0
Estonia,1979,0,0,0,0
Estonia,1980,0,0,0,0
Estonia,1981,0,0,0,0
Estonia,1982,0,0,0,0
Estonia,1983,0,0,0,0
Estonia,1984,0,0,0,0
Estonia,1985,0,0,0,0
Estonia,1986,0,0,0,0
Estonia,1987,0,0,0,0
Estonia,1988,0,0,0,0
Estonia,1989,0,0,0,0
Estonia,1990,17181,0,0,17181
Estonia,1991,14627,0,0,14627
Estonia,1992,11830,0,1,11831
Estonia,1993,9116,0,1,9117
Estonia,1994,9149,0,3,9152
Estonia,1995,8685,0,8,8693
Estonia,1996,9096,0,7,9103
Estonia,1997,9207,0,11,9218
Estonia,1998,8505,0,16,8521
Estonia,1999,8252,0,16,8268
Estonia,2000,8495,0,18,8513
Estonia,2001,8465,0,18,8483
Estonia,2002,8497,0,30,8527
Estonia,2003,10110,0,49,10159
Estonia,2004,10244,0,60,10304
Estonia,2005,10094,0,111,10205
Estonia,2006,9602,0,130,9732
Estonia,2007,12045,0,145,12190
Estonia,2008,10384,0,197,10581
Estonia,2009,8238,0,541,8779
Estonia,2010,11920,0,1044,12964
Estonia,2011,11714,0,1179,12893
Estonia,2012,10490,0,1477,11967
Estonia,2013,11995,0,1220,13275
Estonia,2014,10984,0,1389,12446
Estonia,2015,8519,0,1560,10149
Estonia,2016,10518,0,1588,12170
Estonia,2017,11218,0,1859,13160
Estonia,2018,10279,0,1989,12364
Estonia,2019,5409,0,2143,7616
Estonia,2020,3033,0,2525,5632
Finland,1971,11054,0,10627,21681
Finland,1972,12982,0,10323,23305
Finland,1973,15587,0,10515,26102
Finland,1974,15000,0,12631,27631
Finland,1975,14019,0,12152,26171
Finland,1976,19820,0,9435,29255
Finland,1977,18318,2660,12120,33098
Finland,1978,22726,3264,9742,35732
Finland,1979,21631,6742,10870,39243
Finland,1980,23509,7022,10216,40747
Finland,1981,12591,14665,13653,40909
Finland,1982,11311,16776,13088,41175
Finland,1983,10898,17720,13579,42197
Finland,1984,13174,18867,13246,45287
Finland,1985,18324,19059,12333,49716
Finland,1986,17818,19059,12389,49266
Finland,1987,19961,19646,13795,53402
Finland,1988,20963,19554,13361,53878
Finland,1989,21698,19090,13029,53817
Finland,1990,19146,19216,16015,54377
Finland,1991,20278,19511,18197,57986
Finland,1992,18405,19260,20060,57725
Finland,1993,21712,19928,19439,61079
Finland,1994,27944,19427,18260,65631
Finland,1995,25274,19216,19545,64035
Finland,1996,31882,19476,17761,69373
Finland,1997,27841,20894,20151,69176
Finland,1998,23547,21853,24408,70167
Finland,1999,24957,22974,21193,69457
Finland,2000,23855,22479,23379,69976
Finland,2001,29869,22773,21547,74486
Finland,2002,32467,22295,19830,74955
Finland,2003,42102,22731,19065,84326
Finland,2004,37039,22716,25631,85845
Finland,2005,23419,23271,23468,70582
Finland,2006,36555,22906,22466,82312
Finland,2007,33080,23423,24323,81245
Finland,2008,26095,22958,27781,77432
Finland,2009,26326,23526,21699,72069
Finland,2010,33157,22800,24195,80674
Finland,2011,25609,23187,24175,73501
Finland,2012,18309,22987,28560,70411
Finland,2013,21393,23606,25629,71257
Finland,2014,17575,23580,26271,68094
Finland,2015,14194,23245,30527,68599
Finland,2016,14447,23203,30412,68757
Finland,2017,12698,22477,31476,67524
Finland,2018,14528,22793,32139,70263
Finland,2019,12123,23870,31876,68642
Finland,2020,9457,23291,35517,68946
France,1971,96951,9336,49562,155849
France,1972,106963,14592,49646,171201
France,1973,119278,14741,48489,182508
France,1974,115151,14695,57001,186847
France,1975,106242,18248,60804,185294
France,1976,140933,15778,49146,205857
France,1977,115535,17986,76929,210450
France,1978,126639,30483,69023,226145
France,1979,133398,39960,67111,240469
France,1980,125823,61251,70234,257308
France,1981,97360,105326,72944,275630
France,1982,98198,108919,71351,278468
France,1983,80867,144261,70231,295359
France,1984,64874,191234,66545,322653
France,1985,55680,224100,62774,342554
France,1986,43029,254155,63389,360573
France,1987,39498,265520,71424,376442
France,1988,37266,275521,77445,390232
France,1989,51429,303931,47989,403534
France,1990,47118,314081,55779,417200
France,1991,60342,331340,59704,451613
France,1992,50236,338445,71090,460011
France,1993,34336,368188,66871,469654
France,1994,33385,359981,80956,474592
France,1995,38145,377231,75454,491201
France,1996,42878,397340,68475,509160
France,1997,38490,395483,66452,500975
France,1998,53938,387990,64767,507266
France,1999,50765,394244,75406,521237
France,2000,49539,415162,69402,535184
France,2001,45005,421076,77739,545287
France,2002,51127,436760,64206,553630
France,2003,55730,441070,63056,561503
France,2004,54812,448241,63940,568710
France,2005,61699,451529,56324,571209
France,2006,55297,450191,62339,569432
France,2007,56347,439730,65908,564113
France,2008,53661,439447,73825,569092
France,2009,49234,409736,69658,530953
France,2010,55594,428521,78196,564476
France,2011,56812,442388,66031,567958
France,2012,54169,425406,85252,567829
France,2013,51127,423685,99430,577285
France,2014,33420,436479,94039,566914
France,2015,42373,437428,91836,574632
France,2016,54069,403195,99000,559207
France,2017,62678,398359,92633,556809
France,2018,46872,412942,113586,576425
France,2019,51101,399012,113112,566186
France,2020,45536,353833,125698,527917
Germany,1971,304810,6216,16223,327249
Germany,1972,320343,9522,16016,345881
Germany,1973,344101,12106,18145,374352
Germany,1974,355488,14459,18686,390563
Germany,1975,339469,24138,18156,383770
Germany,1976,374509,29533,15099,421423
Germany,1977,363778,41255,18794,426053
Germany,1978,382100,43873,19623,447974
